R,Team,Total,AccLB,InAccLB,AccSP,InAccSP,Rating
1,Juventus,536.09.00,33.09.00,22.02.00,421.07.00,59.02.00,07.04.00
2,Lazio,457.06.00,32.03.00,33.01.00,334.07.00,57.05.00,07.39.00
3,Inter,541.01.00,25.01.00,23,434.01.00,59,07.34.00
4,Roma,539.07.00,40.07.00,28.04.00,418.02.00,52.04.00,07.33.00
5,Fiorentina,506.04.00,33.02.00,27.01.00,393.06.00,52.05.00,07.32.00
6,Napoli,525.02.00,31.02.00,30.03.00,405.04.00,58.02.00,07.27.00
7,Genoa,414.04.00,27.01.00,31.06.00,298.01.00,57.07.00,07.26.00
8,Sampdoria,397.05.00,35.09.00,29.06.00,282,50,07.24.00
9,Palermo,416.06.00,29,31.06.00,298.06.00,57.04.00,07.21.00
10,Torino,423.06.00,35.03.00,28.07.00,311,48.06.00,07.21.00
11,AC Milan,449.07.00,36.06.00,32.02.00,330.06.00,50.02.00,07.20.00
12,Sassuolo,377.04.00,28.01.00,36,262.05.00,50.07.00,07.17.00
13,Chievo,337.04.00,32.05.00,38.01.00,212.03.00,54.05.00,07.16.00
14,Empoli,483.02.00,21,31.08.00,366.03.00,64.01.00,07.14.00
15,Cagliari,440.02.00,21.07.00,27.07.00,329.01.00,61.07.00,07.14.00
16,Verona,357.02.00,30.01.00,30.05.00,249.09.00,46.07.00,07.12.00
17,Udinese,371.04.00,28.08.00,39.01.00,250.08.00,52.08.00,07.11.00
18,Atalanta,377.08.00,30.05.00,34.05.00,255.03.00,57.04.00,07.10.00
19,Cesena,370.09.00,34.09.00,34.01.00,242.09.00,59,07.01.00
20,Parma,398.03.00,32.01.00,34.06.00,277.04.00,54.02.00,06.53.00

